id,fleetId,rideHailManagerId,vehicleType,initialLocationX,initialLocationY,shifts,geofencePolygon
1,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
2,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
3,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
4,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
5,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
6,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
7,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
8,Westside SLC,GlobalRHM,micro,421525.66793343,4513706.83216463,{14400:87300},"POLYGON ((419740.7631790675 4518473.631673051, 420867.1252156405 4518865.347165184, 422509.8251731183 4518804.67439781, 422591.6963219001 4517635.452700092, 423737.1159152256 4516368.442324296, 424091.3936364147 4515607.304053106, 424045.8242030903 4512577.024307582, 422828.7183543947 4512589.605901147, 423108.6172861013 4511633.917105941, 423587.1507000519 4510957.618969107, 423705.2096280027 4510458.267478243, 423576.7141284838 4508538.933105906, 422539.8580178064 4508520.804708256, 420995.9692351596 4508544.312862139, 420285.1346292781 4508508.590202424, 419671.5756448421 4508753.519856316, 419833.4742880914 4509647.164184529, 419913.2223652467 4511660.55131098, 419754.0787796479 4512355.223119577, 419718.5886806058 4513091.796479209, 419077.6372797902 4513445.19026779, 419226.8754382986 4518486.440607541, 419740.7631790675 4518473.631673051))"
1,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
2,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
3,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
4,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
5,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
6,South SL Co: East,GlobalRHM,micro,425824.339883216,4486370.28258574,{14400:87300},"POLYGON ((423378.3414484365 4491377.605297341, 424672.3101266235 4491436.800359805, 425339.7037192809 4491328.75679846, 426182.633572309 4491334.840400547, 426776.2630989143 4491111.84606241, 427656.627864363 4490480.748785694, 428526.4907937716 4490255.198084929, 428567.3166603832 4489965.244841152, 428517.0324122726 4487750.206807477, 429167.9309991354 4487396.411377735, 429764.0039506423 4487390.779974157, 430330.1891769869 4487298.575052762, 430516.6293599672 4487021.647949374, 430033.1763205628 4486635.085597256, 428554.4054453477 4482534.288923967, 424139.6403063103 4480476.013861578, 424351.3929615683 4482706.064108172, 422612.7273874276 4483404.98340723, 422553.8094770568 4484738.684211105, 422102.4591729917 4486090.718946035, 422449.1444059148 4488665.221927427, 423118.9338324693 4490178.670105215, 423496.2006840947 4490116.877807743, 423378.3414484365 4491377.605297341))"
